community_district,g_index,g_slope
59,0,3
58,-4,3
57,2,3
56,0,1
55,-2,3
54,0,-1
53,-6,-1
52,-2,5
51,-2,3
50,-2,-1
49,-4,-3
48,-4,-1
47,0,3
46,2,1
45,0,1
44,0,1
43,4,1
42,-2,1
41,0,-1
40,2,1
39,-6,-3
38,-4,-1
37,-2,-1
36,-2,1
35,-6,-3
34,-6,3
33,0,1
32,4,1
31,-4,1
30,2,1
29,0,1
28,4,3
27,4,-1
26,2,1
25,4,1
24,-2,1
23,-6,1
22,-2,-1
21,4,1
20,-4,-1
19,-2,-3
18,0,1
17,2,1
16,4,-1
15,0,-1
14,-2,-3
13,-2,-3
12,0,1
11,2,1
10,2,-1
9,4,3
8,-6,1
7,-4,1
6,-4,-3
5,-4,-1
4,-4,-1
3,2,-1
2,-4,-5
1,-4,-5
