communitydistrict,stops_black,arrests_black,stops_white,arrests_white,stops_other,arrests_other,stops_hispanic,arrest_hispanic,total_stops,total_arrests
1,1454,151,571,71,212,21,1801,235,4038,478
2,4871,406,1690,117,691,52,2095,209,9347,784
3,1799,259,1237,252,172,33,1922,307,5130,851
4,7934,619,3052,207,708,40,3735,333,15429,1199
5,3424,301,1201,141,259,18,1667,161,6551,621
6,801,43,440,15,134,7,574,37,1949,102
7,4715,473,1691,143,393,39,3210,318,10009,973
8,2285,272,1496,137,315,26,2293,226,6389,661
9,6500,651,423,37,189,15,4959,472,12071,1175
10,18431,1454,400,40,135,19,2367,167,21333,1680
11,17013,1059,699,57,267,29,8587,604,26566,1749
12,2646,150,650,47,141,11,13742,567,17179,775
13,9200,537,199,12,63,4,7901,555,17363,1108
14,4617,172,206,7,69,6,5702,286,10594,471
15,7373,479,94,9,90,2,4316,275,11873,765
16,8341,628,216,32,91,10,7430,534,16078,1204
17,5995,148,92,1,113,3,7462,163,13662,315
18,2314,156,220,23,82,3,2262,145,4878,327
19,4256,223,368,28,196,4,8168,377,12988,632
20,693,84,288,36,38,4,1645,177,2664,301
21,7216,502,280,21,280,11,8619,600,16395,1134
22,1895,128,909,67,111,8,2143,135,5058,338
23,4004,174,997,42,173,9,3025,147,8199,372
24,8309,706,221,20,122,11,1967,163,10619,900
25,6802,181,2449,116,366,16,9718,367,19335,680
26,9131,663,1064,66,440,25,1917,100,12552,854
27,22884,813,846,42,266,8,3221,117,27217,980
28,4734,266,723,44,246,14,8464,423,14167,747
29,21737,811,468,11,605,19,7108,235,29918,1076
30,3358,195,1490,62,253,11,2818,141,7919,409
31,567,18,465,24,271,16,5592,162,6895,220
32,9763,421,334,4,179,9,968,47,11244,481
33,5486,479,129,11,45,5,333,29,5993,524
34,216,32,1557,151,247,26,862,112,2882,321
35,346,7,2158,108,423,23,1404,58,4331,196
36,447,58,748,76,525,46,1887,132,3607,312
37,4991,305,2168,171,318,23,2450,169,9927,668
38,8735,182,597,13,424,14,2019,38,11775,247
39,1844,77,3199,134,228,3,1221,45,6492,259
40,21450,969,245,11,263,5,2296,134,24254,1119
41,11728,378,145,5,97,5,451,13,12421,401
42,9107,366,675,32,231,9,636,29,10649,436
43,3587,300,1795,138,694,32,3657,254,9733,724
44,663,52,901,78,986,54,3217,234,5767,418
45,1539,72,663,32,693,12,14584,541,17479,657
46,886,68,416,29,619,36,8744,541,10665,674
47,703,51,1845,162,244,13,3965,327,6757,553
48,726,69,1229,110,191,18,1098,81,3244,278
49,2061,159,1632,108,3018,250,6053,324,12764,841
50,2453,176,628,42,882,48,1350,84,5313,350
51,1818,140,715,80,2187,151,4298,333,9018,704
52,2754,85,736,36,3073,78,1695,54,8258,253
53,896,54,1498,82,876,40,1257,70,4527,246
54,22596,1395,608,37,1567,104,4039,228,28810,1764
55,7304,802,481,47,593,54,963,78,9341,981
56,13186,695,1121,62,200,12,1848,115,16355,884
57,8606,667,3089,238,246,13,4110,324,16051,1242
58,1439,61,5680,202,195,4,1691,62,9005,329
59,92,4,1665,84,29,2,202,17,1988,107
NA,2314,156,220,23,82,3,2262,145,4878,327
