"","race","addrpct","count"
"1","A",71,150
"2","A",76,675
"3","A",77,538
"4","A",79,821
"5","A",83,502
"6","A",84,672
"7","B",71,30560
"8","B",76,12888
"9","B",77,58093
"10","B",79,85996
"11","B",83,21212
"12","B",84,15754
"13","I",71,19
"14","I",76,92
"15","I",77,64
"16","I",79,191
"17","I",83,132
"18","I",84,87
"19","P",71,482
"20","P",76,1995
"21","P",77,1215
"22","P",79,3008
"23","P",83,4994
"24","P",84,798
"25","Q",71,1231
"26","Q",76,8634
"27","Q",77,3894
"28","Q",79,11749
"29","Q",83,28523
"30","Q",84,3641
"31","W",71,661
"32","W",76,5145
"33","W",77,1404
"34","W",79,3778
"35","W",83,2457
"36","W",84,2566
