year,id,count(addrpct),rate,,ratest
2005,71,2,0.000091495493846928,21859,1.00009149549385
2005,76,1106,0.0505970080973512,,1.05059700809735
2005,77,8719,0.398874605425683,,1.39887460542568
2005,79,6694,0.306235417905668,,1.30623541790567
2005,83,5114,0.233953977766595,,1.23395397776659
2005,84,224,0.0102474953108559,,1.01024749531086
2006,71,4194,0.1,41940,1.1
2006,76,3960,0.0944206008583691,41940,1.09442060085837
2006,77,8530,0.203385789222699,41940,1.2033857892227
2006,79,15865,0.37827849308536,41940,1.37827849308536
2006,83,5745,0.136981402002861,41940,1.13698140200286
2006,84,3646,0.0869337148307105,41940,1.08693371483071
2007,71,4299,0.0929975988058927,46227,1.09299759880589
2007,76,4060,0.0878274601423411,46227,1.08782746014234
2007,77,9099,0.196833019663833,46227,1.19683301966383
2007,79,18876,0.40833279252385,46227,1.40833279252385
2007,83,6850,0.148181798516019,46227,1.14818179851602
2007,84,3043,0.065827330348065,46227,1.06582733034806
2008,71,4817,0.0961515429757675,50098,1.09615154297577
2008,76,5546,0.11070302207673,50098,1.11070302207673
2008,77,8321,0.166094454868458,50098,1.16609445486846
2008,79,18609,0.371451954169827,50098,1.37145195416983
2008,83,9296,0.185556309633119,50098,1.18555630963312
2008,84,3509,0.0700427162760988,50098,1.0700427162761
2009,71,6865,0.1207924973167,56833,1.1207924973167
2009,76,5421,0.0953847236640684,56833,1.09538472366407
2009,77,10375,0.1825523903366,56833,1.1825523903366
2009,79,20726,0.364682490806398,56833,1.3646824908064
2009,83,9436,0.166030299297943,56833,1.16603029929794
2009,84,4010,0.0705575985782908,56833,1.07055759857829
2010,71,7212,0.136083174519312,52997,1.13608317451931
2010,76,5502,0.103817197199842,52997,1.10381719719984
2010,77,11044,0.208389154103062,52997,1.20838915410306
2010,79,15304,0.288771062512972,52997,1.28877106251297
2010,83,9575,0.180670603996453,52997,1.18067060399645
2010,84,4360,0.0822688076683586,52997,1.08226880766836
2011,71,6014,0.105880281690141,56800,1.10588028169014
2011,76,4659,0.0820246478873239,56800,1.08202464788732
2011,77,11399,0.215087646470555,52997,1.21508764647055
2011,79,14493,0.273468309526954,52997,1.27346830952695
2011,83,15021,0.283431137611563,52997,1.28343113761156
2011,84,5214,0.0983829273355096,52997,1.09838292733551
